recording_tag_raw:recording	recording:id
recording_tag_raw:editor	editor:id
recording_tag_raw:tag	tag:id
release:artist_credit	artist_credit:id
release:release_group	release_group:id
release:status	release_status:id
release:packaging	release_packaging:id
release:language	language:id
release:script	script:id
release_alias:release	release:id
release_alias:type	release_alias_type:id
release_alias_type:parent	release_alias_type:id
release_annotation:release	release:id
release_annotation:annotation	annotation:id
release_country:release	release:id
release_country:country	country_area:area
release_coverart:id	release:id
release_gid_redirect:new_id	release:id
release_group:artist_credit	artist_credit:id
release_group:type	release_group_primary_type:id
release_group_alias:release_group	release_group:id
release_group_alias:type	release_group_alias_type:id
release_group_alias_type:parent	release_group_alias_type:id
release_group_annotation:release_group	release_group:id
release_group_annotation:annotation	annotation:id
release_group_gid_redirect:new_id	release_group:id
release_group_meta:id	release_group:id
release_group_primary_type:parent	release_group_primary_type:id
release_group_rating_raw:release_group	release_group:id
release_group_rating_raw:editor	editor:id
release_group_secondary_type:parent	release_group_secondary_type:id
release_group_secondary_type_join:release_group	release_group:id
release_group_secondary_type_join:secondary_type	release_group_secondary_type:id
release_group_tag:release_group	release_group:id
release_group_tag:tag	tag:id
release_group_tag_raw:release_group	release_group:id
release_group_tag_raw:editor	editor:id
release_group_tag_raw:tag	tag:id
release_label:release	release:id
release_label:label	label:id
release_meta:id	release:id
release_packaging:parent	release_packaging:id
release_status:parent	release_status:id
release_tag:release	release:id
release_tag:tag	tag:id
release_tag_raw:release	release:id
release_tag_raw:editor	editor:id
release_tag_raw:tag	tag:id
release_unknown_country:release	release:id
series:type	series_type:id
series:ordering_attribute	link_text_attribute_type:attribute_type
series:ordering_type	series_ordering_type:id
series_alias:series	series:id
series_alias:type	series_alias_type:id
series_alias_type:parent	series_alias_type:id
series_annotation:series	series:id
series_annotation:annotation	annotation:id
series_gid_redirect:new_id	series:id
series_ordering_type:parent	series_ordering_type:id
series_tag:series	series:id
series_tag:tag	tag:id
series_tag_raw:series	series:id
series_tag_raw:editor	editor:id
series_tag_raw:tag	tag:id
series_type:parent	series_type:id
tag_relation:tag1	tag:id
tag_relation:tag2	tag:id
track:recording	recording:id
track:medium	medium:id
track:artist_credit	artist_credit:id
track_gid_redirect:new_id	track:id
track_raw:release	release_raw:id
url_gid_redirect:new_id	url:id
vote:editor	editor:id
vote:edit	edit:id
work:type	work_type:id
work:language	language:id
work_alias:work	work:id
work_alias:type	work_alias_type:id
work_alias_type:parent	work_alias_type:id
work_annotation:work	work:id
work_annotation:annotation	annotation:id
work_attribute:work	work:id
work_attribute:work_attribute_type	work_attribute_type:id
work_attribute:work_attribute_type_allowed_value	work_attribute_type_allowed_value:id
work_attribute_type:parent	work_attribute_type:id
work_attribute_type_allowed_value:work_attribute_type	work_attribute_type:id
work_attribute_type_allowed_value:parent	work_attribute_type_allowed_value:id
work_gid_redirect:new_id	work:id
work_meta:id	work:id
work_rating_raw:work	work:id
work_rating_raw:editor	editor:id
work_tag:work	work:id
work_tag:tag	tag:id
work_tag_raw:work	work:id
work_tag_raw:editor	editor:id
work_tag_raw:tag	tag:id
work_type:parent	work_type:id
cover_art_archive.art_type:parent	cover_art_archive.art_type:id
cover_art_archive.cover_art:release	release:id
cover_art_archive.cover_art:mime_type	cover_art_archive.image_type:mime_type
cover_art_archive.cover_art_type:id	cover_art_archive.cover_art:id
cover_art_archive.cover_art_type:type_id	cover_art_archive.art_type:id
cover_art_archive.release_group_cover_art:release_group	release_group:id
cover_art_archive.release_group_cover_art:release	release:id
documentation.l_area_area_example:id	l_area_area:id
documentation.l_area_artist_example:id	l_area_artist:id
documentation.l_area_event_example:id	l_area_event:id
documentation.l_area_instrument_example:id	l_area_instrument:id
documentation.l_area_label_example:id	l_area_label:id
documentation.l_area_place_example:id	l_area_place:id
documentation.l_area_recording_example:id	l_area_recording:id
documentation.l_area_release_example:id	l_area_release:id
documentation.l_area_release_group_example:id	l_area_release_group:id
documentation.l_area_series_example:id	l_area_series:id
documentation.l_area_url_example:id	l_area_url:id
documentation.l_area_work_example:id	l_area_work:id
documentation.l_artist_artist_example:id	l_artist_artist:id
documentation.l_artist_event_example:id	l_artist_event:id
documentation.l_artist_instrument_example:id	l_artist_instrument:id
documentation.l_artist_label_example:id	l_artist_label:id
documentation.l_artist_place_example:id	l_artist_place:id
documentation.l_artist_recording_example:id	l_artist_recording:id
documentation.l_artist_release_example:id	l_artist_release:id
documentation.l_artist_release_group_example:id	l_artist_release_group:id
documentation.l_artist_series_example:id	l_artist_series:id
documentation.l_artist_url_example:id	l_artist_url:id
documentation.l_artist_work_example:id	l_artist_work:id
documentation.l_event_event_example:id	l_event_event:id
documentation.l_event_instrument_example:id	l_event_instrument:id
documentation.l_event_label_example:id	l_event_label:id
documentation.l_event_place_example:id	l_event_place:id
documentation.l_event_recording_example:id	l_event_recording:id
documentation.l_event_release_example:id	l_event_release:id
documentation.l_event_release_group_example:id	l_event_release_group:id
documentation.l_event_series_example:id	l_event_series:id
documentation.l_event_url_example:id	l_event_url:id
documentation.l_event_work_example:id	l_event_work:id
documentation.l_instrument_instrument_example:id	l_instrument_instrument:id
documentation.l_instrument_label_example:id	l_instrument_label:id
documentation.l_instrument_place_example:id	l_instrument_place:id
documentation.l_instrument_recording_example:id	l_instrument_recording:id
documentation.l_instrument_release_example:id	l_instrument_release:id
documentation.l_instrument_release_group_example:id	l_instrument_release_group:id
documentation.l_instrument_series_example:id	l_instrument_series:id
documentation.l_instrument_url_example:id	l_instrument_url:id
documentation.l_instrument_work_example:id	l_instrument_work:id
documentation.l_label_label_example:id	l_label_label:id
documentation.l_label_place_example:id	l_label_place:id
documentation.l_label_recording_example:id	l_label_recording:id
documentation.l_label_release_example:id	l_label_release:id
documentation.l_label_release_group_example:id	l_label_release_group:id
documentation.l_label_series_example:id	l_label_series:id
documentation.l_label_url_example:id	l_label_url:id
documentation.l_label_work_example:id	l_label_work:id
documentation.l_place_place_example:id	l_place_place:id
documentation.l_place_recording_example:id	l_place_recording:id
documentation.l_place_release_example:id	l_place_release:id
documentation.l_place_release_group_example:id	l_place_release_group:id
documentation.l_place_series_example:id	l_place_series:id
documentation.l_place_url_example:id	l_place_url:id
documentation.l_place_work_example:id	l_place_work:id
documentation.l_recording_recording_example:id	l_recording_recording:id
documentation.l_recording_release_example:id	l_recording_release:id
documentation.l_recording_release_group_example:id	l_recording_release_group:id
documentation.l_recording_series_example:id	l_recording_series:id
documentation.l_recording_url_example:id	l_recording_url:id
documentation.l_recording_work_example:id	l_recording_work:id
documentation.l_release_group_release_group_example:id	l_release_group_release_group:id
documentation.l_release_group_series_example:id	l_release_group_series:id
documentation.l_release_group_url_example:id	l_release_group_url:id
documentation.l_release_group_work_example:id	l_release_group_work:id
documentation.l_release_release_example:id	l_release_release:id
documentation.l_release_release_group_example:id	l_release_release_group:id
documentation.l_release_series_example:id	l_release_series:id
documentation.l_release_url_example:id	l_release_url:id
documentation.l_release_work_example:id	l_release_work:id
documentation.l_series_series_example:id	l_series_series:id
documentation.l_series_url_example:id	l_series_url:id
documentation.l_series_work_example:id	l_series_work:id
documentation.l_url_url_example:id	l_url_url:id
documentation.l_url_work_example:id	l_url_work:id
documentation.l_work_work_example:id	l_work_work:id
documentation.link_type_documentation:id	link_type:id
sitemaps.artist_lastmod:id	artist:id
sitemaps.label_lastmod:id	label:id
sitemaps.place_lastmod:id	place:id
sitemaps.recording_lastmod:id	recording:id
sitemaps.release_group_lastmod:id	release_group:id
sitemaps.release_lastmod:id	release:id
sitemaps.work_lastmod:id	work:id
